Continent,Name,Tags,Associated Companies,Meeting Focus,Other Organizations,Regulations
Asia,Afghanistan,,,,,
Asia,Bahrain,,,,,
Asia,Bangladesh,,,,,
Asia,Bhutan,,,,,
Asia,Brunei,,,,,
Asia,Cambodia,,,,,
Asia,China,,,https://www.notion.so/December-2020-932e3a68b1c242b4958ea8bfa6bb007f,https://www.notion.so/CAICT-50cf896978304cf28b80529d469d156f,
Asia,East Timor,,,,,
Oceania,Fiji,,,,,
Asia,India,,https://www.notion.so/Dhiway-9b7ddc83b2074fd49238e709cad86ccb,,,
Asia,Indonesia,,,,,
Asia,Iran,,,,,
Asia,Iraq,,,,,
Asia,Israel,,,,,
Asia,Japan,,,,,
Asia,Jordan,,,,,
Asia,Kazakhstan,,,,,
Oceania,Kiribati,,,,,
Asia,Kuwait,,,,,
Asia,Kyrgyzstan,,,,,
Asia,Laos,,,,,
Asia,Lebanon,,,,,
Asia,Malaysia,,,,,
Asia,Maldives,,,,,
Oceania,Marshall Islands,,,,,
Oceania,Micronesia,,,,,
Asia,Mongolia,,,,,
Asia,Myanmar,,,,,
Oceania,Nauru,,,,,
Asia,Nepal,,,,,
Oceania,New Zealand,,,,,
Asia,North Korea,,,,,
Asia,Oman,,,,,
Asia,Pakistan,,,,,
Oceania,Palau,,,,,
Oceania,Papua New Guinea,,,,,
Asia,Philippines,,,,,
Asia,Qatar,,,,,
Asia,Russia,,,,,
Oceania,Samoa,,,,,
Asia,Saudi Arabia,,,,,
Asia,Singapore,,https://www.notion.so/Affinidi-0c443197bd854b51a482c5faac45cda6,,,https://www.notion.so/Personal-Data-Protection-Act-d4db47f85c084124b74b1786ab1b5bd0
Oceania,Solomon Islands,,,,,
Asia,South Korea,,,,,
Asia,Sri Lanka,,,,,
Asia,Syria,,,,,
Asia,Tajikistan,,,,,
Asia,Thailand,,"https://www.notion.so/Korsimoro-2eb0fdf1970f494f9feef779c8c8c9b0, https://www.notion.so/Finema-59b3c494ca7c4151be49a56d1e8e9888",,,
Oceania,Tonga,,,,,
Asia,Turkey,,,,,
Asia,Turkmenistan,,,,,
Oceania,Tuvalu,,,,,
Asia,United Arab Emirates,,,,,
Asia,Uzbekistan,,,,,
Oceania,Vanuatu,,,,,
Asia,Vietnam,,,,,
Asia,Yemen,,,,,
Oceania,Australia,,,,,
