Name,Business,Country Spotlight,Events,Legal,Responsibility,Social,When
November 2020,"Identity Week London, Consensys Product Road Show",,meeting,IBO Summit,https://www.notion.so/Eric-Welton-81f2b22a7d02414fb581749742aebf43,,"Nov 26, 2020"
December 2020,,,meeting,,https://www.notion.so/Sandeep-Bajjuri-999b0568e4cf409b91a4e42cd1a54eea,,"Dec 24, 2020"
January 2021,,,"email-update, meeting",,https://www.notion.so/Catherine-Nabbala-6acdb358b55343f09efc393335a8f7ef,,"Jan 28, 2021"
February 2021,,,"email-update, meeting",,,,"Feb 25, 2021"
March 2021,,,"email-update, meeting",,,,"Mar 25, 2021"
April 2021,,,"email-update, meeting",,,,"Apr 22, 2021"
May 2021,,,"email-update, meeting",,,,"May 27, 2021"
June 2021,,,"email-update, meeting",,,,"Jun 24, 2021"
July 2021,,,"email-update, meeting",,,,"Jul 22, 2021"
August 2021,,,"email-update, meeting",,,,"Aug 26, 2021"
September 2021,,,"email-update, meeting",,,,"Sep 23, 2021"
October 2021,,,"email-update, meeting",,,,"Oct 28, 2021"
November 2021,,,"email-update, meeting",,,,"Nov 25, 2021"
December 2021,,,"email-update, meeting",,,,"Dec 23, 2021"
January 2021,,,email-update,,https://www.notion.so/Eric-Welton-81f2b22a7d02414fb581749742aebf43,,"Jan 14, 2021"
February 2021,,,email-update,,https://www.notion.so/Sandeep-Bajjuri-999b0568e4cf409b91a4e42cd1a54eea,,"Feb 11, 2021"
April 2021,,,email-update,,,,"Apr 8, 2021"
March 2021,,,email-update,,,,"Mar 11, 2021"
May 2021,,,email-update,,,,"May 13, 2021"
June 2021,,,email-update,,,,"Jun 10, 2021"
July 2021,,,email-update,,,,"Jul 8, 2021"
September 2021,,,email-update,,,,"Sep 9, 2021"
August 2021,,,email-update,,,,"Aug 12, 2021"
October 2021,,,email-update,,,,"Oct 14, 2021"
November 2021,,,email-update,,,,"Nov 11, 2021"
December 2021,,,email-update,,,,"Dec 9, 2021"
